frame_index,hand_index,fingertip_id,x,y
47,0,8,426.57708406448364,89.29417282342911
47,0,12,363.5877415537834,89.9915099143982
47,0,16,343.80869776010513,110.75658351182938
47,0,20,321.0920351743698,154.6987146139145
47,1,4,678.280374109745,164.16378319263458
47,1,8,714.4674003124237,117.37658828496933
47,1,12,728.9295047521591,121.05517089366913
47,1,16,756.0941392183304,123.8931193947792
47,1,20,786.7882931232452,156.5932035446167
48,0,4,492.6015454530716,176.89761519432068
48,0,8,426.4436134696007,89.30907398462296
48,0,12,363.9072707295418,89.71197158098221
48,0,16,343.7957140803337,111.02095991373062
48,0,20,320.88821589946747,155.0510823726654
48,1,4,676.8158313632011,165.70614278316498
48,1,8,717.5375097990036,115.49095064401627
48,1,12,730.0776213407516,120.96250057220459
48,1,16,757.9505604505539,125.39729475975037
48,1,20,791.8409860134125,151.89506113529205
49,0,4,492.3446074128151,177.2007942199707
49,0,8,426.4186668395996,88.64805102348328
49,0,12,363.57904493808746,88.97824585437775
49,0,16,343.3870956301689,110.89953035116196
49,0,20,320.38322016596794,155.2366465330124
49,1,4,676.4388963580132,165.7569259405136
49,1,8,718.2168257236481,113.61432075500488
49,1,12,731.6253739595413,121.88977748155594
49,1,16,757.3386126756668,123.6841157078743
49,1,20,798.6038500070572,150.17957985401154
50,0,4,492.2809138894081,177.3342341184616
50,0,8,425.68202674388885,87.3405858874321
50,0,12,362.6548355817795,86.95670962333679
50,0,16,342.60885059833527,109.98844355344772
50,0,20,320.51011726260185,154.01425957679749
50,1,4,676.2565940618515,164.1770750284195
50,1,8,717.8651231527328,113.48172277212143
50,1,12,730.436509847641,120.50977349281311
50,1,16,756.0151755809784,124.472975730896
50,1,20,798.5462808609009,148.3156532049179
51,0,4,491.1007872223854,177.50594019889832
51,0,8,425.2663856744766,86.21973544359207
51,0,12,362.26242631673813,85.43887734413147
51,0,16,341.42751947045326,108.82790386676788
51,0,20,320.5675230920315,153.2336175441742
51,1,4,676.5919649600983,163.23567926883698
51,1,8,717.619903087616,112.01045662164688
51,1,12,729.3743795156479,119.7260245680809
51,1,16,757.0277392864227,123.25819581747055
51,1,20,799.4860053062439,147.16023206710815
52,0,4,489.35774862766266,177.00925469398499
52,0,8,425.2542185783386,85.09033173322678
52,0,12,361.8469077348709,83.7615504860878
52,0,16,341.9669546186924,109.36354845762253
52,0,20,321.8652582168579,153.51149439811707
52,1,4,677.0270815491676,161.82570159435272
52,1,8,717.3387533426285,110.33113300800323
52,1,12,727.5474369525909,121.19346857070923
52,1,16,756.0894030332565,122.19321727752686
52,1,20,800.2214205265045,144.07461881637573
53,0,4,487.8386580944061,176.7418086528778
53,0,8,424.911008477211,85.33726632595062
53,0,12,361.30498200654984,81.62564039230347
53,0,16,342.4302637577057,107.03948885202408
53,0,20,322.05950304865837,153.01261842250824
53,1,4,676.4915660023689,161.7444008588791
53,1,8,717.3029869794846,110.31106859445572
53,1,12,727.9302513599396,120.06738781929016
53,1,16,755.2451372146606,121.83070927858353
53,1,20,798.7683099508286,142.2494351863861
54,0,4,484.76822197437286,174.76710677146912
54,0,8,424.48691576719284,84.52728390693665
54,0,12,360.9402957558632,81.09764009714127
54,0,16,340.7429978251457,106.46460950374603
54,0,20,320.07061153650284,152.58006751537323
54,1,4,676.0386070609093,161.02495789527893
54,1,8,717.2696703672409,111.76877468824387
54,1,12,728.940446972847,121.31955474615097
54,1,16,753.5022211074829,121.6183602809906
